,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000,sample size 6000,sample size 7000,sample size 8000,sample size 9000,sample size 10000,sample size 11000,sample size 12000,sample size 13000,sample size 14000,sample size 15000,sample size 16000,sample size 17000,sample size 18000,sample size 19000,sample size 20000
lag 0,0.14333486783014918,0.07073524275494981,0.04903207169835696,0.03498242253405738,0.030948923133164476,0.025805947407263042,0.022984509294505406,0.01996696611042799,0.01762952541282044,0.015209389220839885,0.013143312107489431,0.011921927265703593,0.010822433885106435,0.01057562561221443,0.009592237255978067,0.009205523449745014,0.009180256756320683,0.007631972765594548,0.008306354898735291,0.007050129494618872
lag 1,0.24001575983333986,0.11604491003431429,0.07873904613923785,0.05543446866469667,0.0462444200957869,0.038358834823096474,0.032311791368695816,0.02832904246028419,0.02512941837250302,0.024139489385365795,0.02028087015197625,0.020390066346754068,0.01680621416708193,0.016116299523704466,0.014268181914640703,0.014010236772738854,0.0136230835151564,0.011788786460954779,0.012330906383140468,0.011115135745253997
lag 2,0.28336766114382095,0.1319316785481002,0.09564596095393074,0.06323098084736271,0.05017884411727843,0.04472888931530048,0.037593454649550634,0.03319542672568396,0.02895243013758503,0.026813742175321897,0.022642572833048803,0.022414251436139808,0.021353598987944686,0.01727748484489701,0.01634231058244491,0.016086615256300986,0.015543174698947795,0.014614845830455398,0.014216781337315227,0.013873458186261399
lag 3,0.23656610967559732,0.12883320020952232,0.0935425851261565,0.06519773846474025,0.0532225529472501,0.04448690958255738,0.035948573782726985,0.03105118577753201,0.029679846245567,0.024239543447219764,0.025636946591769794,0.02234253777290983,0.02045304137349794,0.01908061574149436,0.017898484576342143,0.016976730004718454,0.016458475367033255,0.014111483557381038,0.014820365812307043,0.012566592536488999
lag 4,0.2911997623257013,0.1287840598588189,0.08701274354743799,0.058739536037797496,0.057204161734650455,0.04208150671501467,0.0368632126591214,0.0328243874737862,0.02951615462432074,0.026705384206076835,0.0243177400593855,0.021274608450982627,0.018928368699576488,0.017347036211768457,0.018088245132132464,0.01580581870849485,0.01546443236354043,0.014800211856704106,0.014042040038904866,0.012792004092536733
lag 5,,0.13916754261167175,0.0879754967525512,0.06388781678842957,0.053194488858792695,0.042440263630274325,0.036065098361577445,0.03430744072963972,0.030354358715232573,0.02728330594119955,0.0247235931135261,0.022377801791356285,0.019437839135929048,0.018947549631644023,0.017407687373781955,0.017243283653074423,0.015970227825224552,0.016076808743100093,0.014351860807286322,0.011965324703578417
lag 6,,,,0.06056327905391833,0.0512241953470205,0.045959336889649455,0.04032939994861544,0.03492529320648581,0.028507300387280908,0.025278345263043768,0.023158505047373736,0.020041309712551917,0.019811010725191106,0.018130462251513074,0.0169358281037469,0.016488351921641407,0.015370569676345334,0.015708566171229805,0.013342287555460347,0.012342150491933527
lag 7,,,,,,,,0.03070459743949804,0.02906930756137266,0.026877930688217276,0.02350301548574889,0.02111774428226019,0.01990663999046381,0.0182347321978398,0.015764976521167814,0.015680138338912693,0.015451416023511471,0.01518543668658355,0.013255810967603938,0.013223809445189257
lag 8,,,,,,,,,,,,,,,,,0.01595187682840344,0.01575579974014264,0.013747051879515044,0.012554696445596987
